Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;A turma se mostrou motivada para estudar a disciplina.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;A turma se empenhou em acompanhar as atividades da disciplina.;Você apresentou plano de ensino contendo: ementa, objetivos, metodologias de ensino, critérios de avaliação, conteúdos e bibliografia da disciplina.;Os conteúdos trabalhados na disciplina foram coerentes com os que foram apresentados no plano de ensino.;Você deu retorno sobre todas as avaliações realizadas: correções, discussão dos pontos principais, esclarecimentos sobre os erros cometidos.;Os recursos didáticos, audiovisuais, tecnológicos empregados pelo(a) docente contribuíram para que a aula fosse mais produtiva.;Você cumpriu a carga horária prevista no semestre para a disciplina.;O grau de dificuldade das avaliações foi compatível com as aulas ministradas.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de formação teórica/prática na área. ;A disciplina contribuiu para a aquisição de cultura geral.;Você dispôs de horário de atendimento extra-classe.; As notas de todas as avaliações parciais foram divulgadas no SIGA até 3 (três) dias antes da data da avaliação subsequente, conforme determina o RAG. ;Você manteve um comportamento respeitoso e cortês em relação aos discentes.
2019;3;DOCENTE_TURMA;3573BEEC19CD537FCB1555F9B32643BB;DEPTO DE ENERGIA ELETRICA /ENG;8EE664B87561AD97568D6DF85CBE1466;A;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;8BE8BB663C499EDA0DBA21708243520E;DEPTO DE FINANCAS E CONTROLADORIA;85F0382E7235B4FDF63FDE361D46748C;A;3;4;3;5;5;5;5;5;5;5;4;5;5;3;5
2019;3;DOCENTE_TURMA;8BE8BB663C499EDA0DBA21708243520E;DEPTO DE FINANCAS E CONTROLADORIA;E1B8572272AC60D5B73A73D35FA59896;A;5;4;4;5;5;5;5;5;5;5;5;5;5;3;5
2019;3;DOCENTE_TURMA;8BE8BB663C499EDA0DBA21708243520E;DEPTO DE FINANCAS E CONTROLADORIA;1BEAA76FA9B10225A2DFA4A9F5AB6879;A;5;4;4;5;5;5;5;5;5;5;5;5;5;3;5
2019;3;DOCENTE_TURMA;B24FD82DFFF74C6F76C31457A4F592FB;DEPTO DE ENGENHARIA DE PRODUÇÃO E MECÂNICA;9E2634A574CD810002146C25D3F6CB66;A;4;2;3;4;5;5;4;4;5;5;5;3;5;5;5
2019;3;DOCENTE_TURMA;B24FD82DFFF74C6F76C31457A4F592FB;DEPTO DE ENGENHARIA DE PRODUÇÃO E MECÂNICA;077040AE8B3E75CEEA33F8EBABBB043C;A;4;2;3;0;5;2;4;4;5;1;1;3;5;5;5
2019;3;DOCENTE_TURMA;B24FD82DFFF74C6F76C31457A4F592FB;DEPTO DE ENGENHARIA DE PRODUÇÃO E MECÂNICA;E8CE598723A969A1A441E3298CDDD25C;A;4;2;3;4;5;5;4;4;5;5;5;3;5;5;5
2019;3;DOCENTE_TURMA;B24FD82DFFF74C6F76C31457A4F592FB;DEPTO DE ENGENHARIA DE PRODUÇÃO E MECÂNICA;2708A7AE3812535DA339B8696EAB88CD;A;4;2;3;4;5;5;4;4;5;5;5;3;5;5;5
2019;3;DOCENTE_TURMA;B24FD82DFFF74C6F76C31457A4F592FB;DEPTO DE ENGENHARIA DE PRODUÇÃO E MECÂNICA;2708A7AE3812535DA339B8696EAB88CD;B;4;2;3;4;5;5;4;4;5;5;5;3;5;5;5
2019;3;DOCENTE_TURMA;6DBD12ED7F5B5B1F9B4B7CDCCB9A8203;DEPTO DE ENFERMAGEM APLICADA /ENF;A36817954CEE90BC5D6D7B07E8DE6E14;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
