Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;Cursos;A turma se mostrou motivada para estudar a disciplina.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;A turma se empenhou em acompanhar as atividades da disciplina.;Você apresentou plano de ensino contendo: ementa, objetivos, metodologias de ensino, critérios de avaliação, conteúdos e bibliografia da disciplina.;Os conteúdos trabalhados na disciplina foram coerentes com os que foram apresentados no plano de ensino.;Você deu retorno sobre todas as avaliações realizadas: correções, discussão dos pontos principais, esclarecimentos sobre os erros cometidos.;Os recursos didáticos, audiovisuais, tecnológicos empregados pelo(a) docente contribuíram para que a aula fosse mais produtiva.;Você cumpriu a carga horária prevista no semestre para a disciplina.;O grau de dificuldade das avaliações foi compatível com as aulas ministradas.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de formação teórica/prática na área. ;A disciplina contribuiu para a aquisição de cultura geral.;Você dispôs de horário de atendimento extra-classe.; As notas de todas as avaliações parciais foram divulgadas no SIGA até 3 (três) dias antes da data da avaliação subsequente, conforme determina o RAG. ;Você manteve um comportamento respeitoso e cortês em relação aos(às) discentes.
2018;3;DOCENTE_TURMA;344C34BF09D44138225CF2F97E998BD2;DEPTO DE CLINICA MEDICA /MED;C222E27D4EA12E2B126E4008F883B752;B;15A|15B;4;5;4;5;5;5;5;5;4;5;5;3;4;5;5
2018;3;DOCENTE_TURMA;344C34BF09D44138225CF2F97E998BD2;DEPTO DE CLINICA MEDICA /MED;C222E27D4EA12E2B126E4008F883B752;C;15A|15B;4;5;4;5;5;5;5;5;4;5;5;3;4;5;5
2018;3;DOCENTE_TURMA;344C34BF09D44138225CF2F97E998BD2;DEPTO DE CLINICA MEDICA /MED;AF5F2114AE4FF0D7046AD7F7D9869B9D;A;15A|15B;4;5;4;5;5;5;5;5;4;5;5;3;4;5;5
2018;3;DOCENTE_TURMA;344C34BF09D44138225CF2F97E998BD2;DEPTO DE CLINICA MEDICA /MED;AF5F2114AE4FF0D7046AD7F7D9869B9D;B;15A|15B;4;5;4;5;5;5;5;5;4;5;5;3;3;5;5
2018;3;DOCENTE_TURMA;344C34BF09D44138225CF2F97E998BD2;DEPTO DE CLINICA MEDICA /MED;AF5F2114AE4FF0D7046AD7F7D9869B9D;C;15A|15B;4;5;4;5;5;5;5;5;4;5;5;3;4;5;5
2018;3;DOCENTE_TURMA;5DE1B8EE5503527EACAA2EF359C171BE;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;438811BEA4BC15699B85C9AC24C06B1C;A;24A;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5
2018;3;DOCENTE_TURMA;5DE1B8EE5503527EACAA2EF359C171BE;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;0A2F57B27C2B5C42F50533C49C30A09E;O;24A|67A;4;4;3;5;5;4;3;5;5;5;5;4;5;0;5
2018;3;DOCENTE_TURMA;5DE1B8EE5503527EACAA2EF359C171BE;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;0A2F57B27C2B5C42F50533C49C30A09E;P;24A|67A;4;4;3;5;5;4;3;5;5;5;5;4;5;0;5
2018;3;DOCENTE_TURMA;A2018FDB831D311451EDDE98147BFC58;DEPARTAMENTO DE MEDICINA VETERINÁRIA;E8A5C17DD28B8927F5B5E1A6A7BD7AF6;A;87A;5;4;5;5;5;5;4;5;5;4;5;4;5;5;5
2018;3;DOCENTE_TURMA;A2018FDB831D311451EDDE98147BFC58;DEPARTAMENTO DE MEDICINA VETERINÁRIA;29C32DD4D0F67B45E27EC4D654D21F0B;A;87A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;3;DOCENTE_TURMA;A2018FDB831D311451EDDE98147BFC58;DEPARTAMENTO DE MEDICINA VETERINÁRIA;34D8C92F775A84A842EB0C395A9C5097;A;87A;4;3;3;5;5;5;4;5;4;4;5;4;5;5;5
2018;3;DOCENTE_TURMA;A2018FDB831D311451EDDE98147BFC58;DEPARTAMENTO DE MEDICINA VETERINÁRIA;98D672D3AB0507AE7BFA9F30C70EE308;A;87A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;3;DOCENTE_TURMA;AF9C149A8ADA5316FA84955EDD54271A;DEP DIREITO - CAMPUS GOVERNADOR VALADARES;DF3360EB6ADE24DCA3D7C959231D8F58;A;04GV;4;4;4;5;5;5;4;5;4;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;AF9C149A8ADA5316FA84955EDD54271A;DEP DIREITO - CAMPUS GOVERNADOR VALADARES;FC297333E57B0BA8833B1BCE49FF10E7;A;04GV;3;4;3;5;5;5;4;5;4;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;4D7972DBFE6FA8FC023B9F59C37C3985;DEPTO DE MATEMATICA /ICE;BAFD084BD32F71A9C45CB8E3510DA2FE;E;24A|35A|49A|65A|65AC|65AD|65AF|65AH|65B|65C|65D|65E|65F|67A|69A|69B|69C|70A|81A|82A|83A;1;2;2;5;5;5;5;5;5;3;3;5;5;5;5
2018;3;DOCENTE_TURMA;4D7972DBFE6FA8FC023B9F59C37C3985;DEPTO DE MATEMATICA /ICE;7F639DC9974F689E14E42D1A96429E32;D;24A|35A|49A|65A|65AC|65AF|65AH|65C|65D|65F|67A|69A|69B|69C|69D|70A|71A|81A|82A;1;2;2;5;5;5;5;5;5;3;3;5;5;5;5
2018;3;DOCENTE_TURMA;1A8CC8A3FFE52811F6F1A8EB870CB2C6;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;96C27CD9BF57702969144B0926336F1E;A;13ABI|13B|13LES|13LFR|13LIN|29ABI;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;1A8CC8A3FFE52811F6F1A8EB870CB2C6;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;41EA4E827DCF2A8636D53995D1792492;A;13ABI|13B|13LPO|29ABI;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5
