CODIGO,NOME,TURNO
04A,DIREITO,INTEGRAL
34A,DIREITO,NOTURNO
04GV,DIREITO,INTEGRAL
00A,DISCIPLINA ISOLADA,DIURNO
99A,DISCIPLINAS OPCIONAIS,DIURNO
10GV,EDUCAÇÃO FÍSICA,INTEGRAL
21B,EDUCAÇÃO FÍSICA,INTEGRAL
21ABI,EDUCAÇÃO FÍSICA,INTEGRAL
21L,EDUCAÇÃO FÍSICA,INTEGRAL
21A,EDUCAÇÃO FÍSICA,INTEGRAL
86I,EDUCAÇÃO FÍSICA - EAD - PÓLO DE BOA ESPERANÇA,INTEGRAL
86J,EDUCAÇÃO FÍSICA - EAD - PÓLO DE CATAGUASES,INTEGRAL
86K,EDUCAÇÃO FÍSICA - EAD - PÓLO DE GOVERNADOR VALADARES,INTEGRAL
86A,EDUCAÇÃO FÍSICA - EAD - PÓLO DE ILICÍNEA,INTEGRAL
86B,EDUCAÇÃO FÍSICA - EAD - PÓLO DE IPANEMA,INTEGRAL
86E,EDUCAÇÃO FÍSICA - EAD - PÓLO DE LAGOA SANTA,INTEGRAL
86C,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SALINAS,INTEGRAL
86D,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SANTA RITA DE CALDAS,INTEGRAL
86F,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SANTOS,INTEGRAL
86G,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SÃO PAULO (JARDIM ESMERALDA),INTEGRAL
86H,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SERRANA,INTEGRAL
86L,EDUCAÇÃO FÍSICA - EAD - PÓLO DE SETE LAGOAS,INTEGRAL
23L,ENFERMAGEM,INTEGRAL
23A,ENFERMAGEM,INTEGRAL
60A,ENFERMAGEM - EAD - PÓLO DE ARAXÁ,INTEGRAL
60B,ENFERMAGEM - EAD - PÓLO DE BOA ESPERANÇA,INTEGRAL
60C,ENFERMAGEM - EAD - PÓLO DE BURITIS,INTEGRAL
60D,ENFERMAGEM - EAD - PÓLO DE ILICÍNEA,INTEGRAL
60E,ENFERMAGEM - EAD - PÓLO DE IPANEMA,INTEGRAL
60F,ENFERMAGEM - EAD - PÓLO DE OURO PRETO,INTEGRAL
